pax_reserva;pax_reserva_menor;pax_real;dia_reserva;id_visita;dia_visita;hora_visita;id_idioma_visita;id_origen_reserva;realitzat
2;0;2;13/10/2021;1;1/20/2022;100000;1;5;1
2;0;2;13/10/2021;1;12/29/2021;100000;1;5;0
1;0;1;13/10/2021;2;1/24/2022;160000;1;5;0
2;0;2;13/10/2021;1;12/15/2021;100000;1;5;1
2;0;2;13/10/2021;1;12/08/2021;100000;1;5;0
2;0;2;14/10/2021;1;03/10/2022;100000;1;5;0
2;0;2;14/10/2021;1;12/08/2021;100000;1;5;1
3;0;3;14/10/2021;1;12/06/2021;100000;1;5;0
2;0;2;15/10/2021;1;12/27/2021;100000;1;5;1
1;0;1;15/10/2021;1;1/15/2022;103000;2;5;0
4;0;4;15/10/2021;1;12/05/2021;100000;1;5;0
4;0;4;15/10/2021;1;12/05/2021;100000;1;5;0
1;0;1;15/10/2021;3;12/15/2021;110000;1;5;1
1;0;1;15/10/2021;1;02/02/2022;100000;1;5;0
2;0;2;15/10/2021;2;12/04/2021;160000;1;5;1
1;0;1;15/10/2021;1;01/04/2022;100000;1;5;0
2;0;2;15/10/2021;1;12/17/2021;100000;1;5;0
2;0;2;16/10/2021;1;12/04/2021;103000;2;5;1
2;0;2;16/10/2021;2;12/05/2021;160000;2;5;1
3;0;3;16/10/2021;1;12/29/2021;100000;1;5;1
2;0;2;16/10/2021;3;12/15/2021;110000;1;5;1
2;0;2;16/10/2021;1;12/15/2021;100000;1;5;1
1;0;1;17/10/2021;2;12/05/2021;160000;2;5;0
2;0;2;17/10/2021;1;12/05/2021;100000;1;5;1
2;0;2;17/10/2021;1;12/04/2021;100000;1;5;1
2;0;2;17/10/2021;2;12/04/2021;160000;1;5;1
1;0;1;18/10/2021;2;12/11/2021;160000;1;5;1
2;0;2;18/10/2021;1;12/05/2021;100000;1;5;0
5;0;4;18/10/2021;1;12/03/2021;100000;1;5;1
2;0;2;18/10/2021;1;12/05/2021;100000;1;5;1
2;0;2;18/10/2021;1;12/03/2021;100000;1;5;0
2;0;2;18/10/2021;2;12/03/2021;160000;1;5;0
2;0;2;18/10/2021;1;12/06/2021;100000;1;5;1
3;0;3;18/10/2021;1;12/10/2021;103000;2;5;0
1;0;1;18/10/2021;1;01/07/2022;100000;1;5;0
2;0;2;18/10/2021;1;12/11/2021;100000;1;5;0
2;0;2;19/10/2021;2;12/05/2021;160000;1;5;1
2;0;2;19/10/2021;2;12/05/2021;160000;1;5;0
3;0;3;19/10/2021;1;12/04/2021;100000;1;5;1
3;0;3;19/10/2021;2;12/04/2021;160000;1;5;1
1;0;1;19/10/2021;1;12/05/2021;100000;1;5;0
6;0;6;19/10/2021;1;01/11/2022;100000;1;5;0
2;0;2;19/10/2021;1;12/27/2021;100000;1;5;1
2;0;2;19/10/2021;1;12/04/2021;100000;1;5;1
2;0;2;19/10/2021;1;12/10/2021;100000;1;5;1
2;0;2;19/10/2021;1;12/27/2021;100000;1;5;1
4;0;4;20/10/2021;1;12/29/2021;100000;1;5;1
1;0;1;20/10/2021;2;1/29/2022;160000;1;5;0
3;0;3;20/10/2021;2;12/06/2021;160000;1;5;1
3;0;3;20/10/2021;1;12/07/2021;100000;1;5;1
3;0;3;20/10/2021;2;12/06/2021;160000;1;5;1
3;0;3;20/10/2021;1;12/07/2021;100000;1;5;1
2;0;2;20/10/2021;1;12/21/2021;100000;1;5;0
2;0;2;20/10/2021;3;01/02/2022;110000;1;5;1
1;0;1;20/10/2021;3;03/05/2022;110000;1;5;0
1;0;1;20/10/2021;1;12/14/2021;100000;1;5;1
2;0;2;21/10/2021;1;1/17/2022;100000;1;5;1
2;0;2;21/10/2021;1;12/16/2021;100000;1;5;0
3;0;3;21/10/2021;1;12/16/2021;100000;1;5;0
2;0;2;21/10/2021;1;12/28/2021;100000;1;5;0
2;0;2;21/10/2021;2;2/26/2022;160000;1;5;1
2;0;2;21/10/2021;3;2/26/2022;110000;1;5;1
2;0;2;21/10/2021;1;2/27/2022;100000;1;5;1
3;0;3;21/10/2021;1;12/05/2021;100000;1;5;1
